pairs_id,ch12,ch11,ch10,ch9,ch8,ch7,ch6,ch5,ch2,jxh,co5,ch3,ch13
A2307-2309,30.0,30.0,30.0,30.0,86.0,40.0,60.0,30.0,40.0,0,0,30.0,26.0
A2309-2311,37.0,37.0,35.0,39.0,85.0,52.0,80.0,36.0,43.0,0,0,36.0,25.0
AL2304-2305,15.0,15.0,23.0,15.0,40.0,20.0,30.0,15.0,20.0,30.0,29.0,15.0,13.0
AL2306-2307,0,0,1.0,0,1.0,0,0,0,0,0,0,1.0,1.0
AL2307-2308,1.0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0
AL2308-2309,0,0,0,0,0,0,0,0,0,0,2.0,0,0
AU2308-2310,0,0,2.0,2.0,7.0,0,0,2.0,0,0,3.0,0,0
AU2310-2312,5.0,4.0,6.0,7.0,20.0,7.0,9.0,6.0,7.0,0,3.0,4.0,4.0
BU2306-2307,5.0,1.0,8.0,0,0,0,4.0,0,0,0,0,6.0,0
CF2307-2308,0,0,0,0,0,0,0,0,0,0,6.0,0,0
CF2308-2309,0,0,0,0,0,0,0,0,0,0,6.0,0,0
CS2307-2309,5.0,5.0,5.0,5.0,13.0,7.0,10.0,5.0,7.0,0,0,5.0,4.0
EG2304-2305,93.0,100.0,75.0,80.0,212.0,115.0,169.0,88.0,108.0,50.0,100.0,86.0,68.0
EG2305-2306,160.0,163.0,160.0,160.0,432.0,216.0,320.0,160.0,216.0,180.0,155.0,169.0,136.0
EG2306-2307,115.0,117.0,152.0,121.0,386.0,155.0,240.0,156.0,173.0,110.0,155.0,129.0,132.0
EG2307-2308,94.0,103.0,100.0,97.0,265.0,125.0,193.0,100.0,135.0,92.0,136.0,104.0,85.0
EG2308-2309,80.0,83.0,80.0,80.0,212.0,108.0,160.0,80.0,108.0,78.0,95.0,84.0,68.0
EG2309-2310,1.0,0,3.0,0,17.0,0,1.0,6.0,0,13.0,51.0,3.0,1.0
HC2305-2306,23.0,30.0,25.0,27.0,71.0,48.0,30.0,29.0,37.0,45.0,0,29.0,23.0
HC2306-2307,23.0,29.0,15.0,27.0,71.0,37.0,30.0,29.0,37.0,49.0,0,30.0,23.0
HC2307-2308,23.0,29.0,15.0,27.0,71.0,37.0,30.0,27.0,37.0,32.0,0,29.0,23.0
HC2308-2309,8.0,13.0,9.0,13.0,38.0,19.0,0,13.0,25.0,3.0,0,14.0,12.0
HC2309-2310,1.0,3.0,0,6.0,11.0,0,0,1.0,0,0,0,0,4.0
HC2310-2311,0,0,4.0,0,4.0,0,0,10.0,0,0,0,0,0
I2310-2311,0,0,0,0,0,0,0,0,0,14.0,0,0,0
IF2303-2304,0,0,0,0,1.0,0,0,0,0,0,0,0,2.0
IH2303-2306,0,0,0,0,0,0,0,0,0,0,4.0,0,0
JD2305-2306,-15.0,-15.0,-15.0,-15.0,-40.0,-20.0,-30.0,-15.0,-20.0,0,0,-15.0,-13.0
JD2306-2307,-15.0,-15.0,-15.0,-15.0,-40.0,-20.0,-30.0,-15.0,-20.0,0,0,-15.0,-13.0
JD2307-2308,-15.0,-15.0,-15.0,-15.0,-40.0,-20.0,-30.0,-15.0,-20.0,0,0,-15.0,-13.0
JD2308-2309,-15.0,-15.0,-15.0,-15.0,-40.0,-20.0,-30.0,-15.0,-20.0,0,0,-15.0,-13.0
L2304-2305,0,0,0,0,0,0,0,0,0,0,6.0,0,0
L2306-2307,0,0,0,0,0,0,0,0,0,0,4.0,0,0
L2307-2308,0,0,0,0,0,0,0,0,0,35.0,4.0,0,0
L2308-2309,3.0,3.0,9.0,0,5.0,3.0,4.0,6.0,1.0,0,0,7.0,8.0
L2309-2310,1.0,1.0,2.0,1.0,2.0,1.0,0,1.0,1.0,0,0,1.0,1.0
PB2303-2304,5.0,1.0,12.0,11.0,5.0,1.0,15.0,6.0,13.0,0,0,5.0,5.0
PB2304-2305,0,0,0,0,0,0,0,0,0,2.0,0,0,0
PF2304-2305,45.0,45.0,45.0,45.0,120.0,60.0,90.0,45.0,60.0,60.0,35.0,45.0,39.0
PF2306-2307,0,3.0,4.0,1.0,3.0,1.0,0,3.0,1.0,0,0,1.0,0
PP2304-2305,59.0,59.0,59.0,59.0,159.0,79.0,119.0,49.0,79.0,50.0,48.0,53.0,51.0
PP2306-2307,60.0,61.0,60.0,60.0,160.0,80.0,120.0,61.0,72.0,30.0,0,61.0,52.0
PP2307-2308,45.0,60.0,60.0,60.0,159.0,80.0,120.0,60.0,72.0,60.0,25.0,60.0,49.0
PP2308-2309,57.0,60.0,60.0,56.0,160.0,67.0,120.0,60.0,67.0,30.0,50.0,60.0,52.0
PP2309-2310,0,0,6.0,0,13.0,1.0,4.0,13.0,0,0,0,0,0
RB2304-2305,15.0,15.0,15.0,15.0,28.0,20.0,30.0,15.0,20.0,0,48.0,15.0,13.0
RB2305-2306,0,0,0,0,0,0,0,0,0,0,-25.0,0,0
RB2306-2307,8.0,8.0,8.0,8.0,20.0,10.0,15.0,8.0,10.0,0,0,8.0,6.0
RU2304-2305,16.0,16.0,16.0,16.0,37.0,20.0,30.0,16.0,20.0,18.0,0,16.0,12.0
SP2303-2304,15.0,15.0,15.0,15.0,40.0,20.0,30.0,15.0,20.0,25.0,0,15.0,13.0
SP2304-2305,15.0,15.0,15.0,15.0,40.0,20.0,30.0,15.0,20.0,20.0,19.0,15.0,13.0
SS2303-2304,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0,0,1.0,1.0
UR2305-2306,-5.0,-5.0,-5.0,-5.0,-13.0,-7.0,-10.0,-5.0,-7.0,0,0,-5.0,-4.0
UR2306-2307,-5.0,-5.0,-5.0,-5.0,-13.0,-7.0,-10.0,-5.0,-7.0,0,0,-5.0,-4.0
UR2307-2308,-5.0,-5.0,-5.0,-5.0,-13.0,-7.0,-10.0,-5.0,-7.0,0,0,-5.0,-4.0
UR2308-2309,-5.0,-5.0,-5.0,-5.0,-13.0,-7.0,-10.0,-5.0,-7.0,0,0,-5.0,-4.0
V2304-2305,40.0,40.0,40.0,40.0,106.0,54.0,80.0,40.0,54.0,0,15.0,40.0,34.0
V2305-2306,45.0,30.0,30.0,53.0,80.0,40.0,60.0,30.0,40.0,30.0,25.0,30.0,26.0
V2306-2307,80.0,90.0,90.0,75.0,234.0,110.0,174.0,90.0,110.0,90.0,50.0,90.0,71.0
V2307-2308,55.0,81.0,81.0,55.0,228.0,91.0,136.0,80.0,102.0,90.0,41.0,81.0,53.0
V2308-2309,55.0,75.0,75.0,59.0,175.0,87.0,124.0,75.0,94.0,60.0,40.0,75.0,47.0
V2309-2310,7.0,5.0,43.0,5.0,67.0,4.0,15.0,14.0,18.0,30.0,15.0,13.0,16.0
V2310-2311,11.0,7.0,37.0,10.0,49.0,4.0,9.0,14.0,14.0,44.0,1.0,12.0,11.0
