,code,deal,price,time,breed,count
177,y2309,-1,8096.0,2023-07-14 09:05:31,Y,-8096.0
176,m2309,2,4077.0,2023-07-14 09:05:36,M,8154.0
169,m2309,2,4081.0,2023-07-14 09:10:44,M,8162.0
168,y2309,-1,8134.0,2023-07-14 09:10:48,Y,-8134.0
167,y2309,-1,8130.0,2023-07-14 09:14:30,Y,-8130.0
166,m2309,2,4071.0,2023-07-14 09:14:35,M,8142.0
153,m2309,-2,4066.0,2023-07-14 09:20:19,M,-8132.0
152,y2309,-1,8128.0,2023-07-14 09:20:23,Y,-8128.0
151,m2309,4,4067.0,2023-07-14 09:20:33,M,16268.0
150,y2309,-1,8120.0,2023-07-14 09:25:53,Y,-8120.0
149,m2309,1,4064.0,2023-07-14 09:25:57,M,4064.0
148,m2309,1,4064.0,2023-07-14 09:25:57,M,4064.0
147,m2309,-4,4063.0,2023-07-14 09:28:29,M,-16252.0
146,y2309,2,8128.0,2023-07-14 09:28:32,Y,16256.0
130,y2309,-1,8148.0,2023-07-14 10:07:39,Y,-8148.0
129,m2309,2,4061.0,2023-07-14 10:07:44,M,8122.0
128,y2309,-1,8154.0,2023-07-14 10:08:00,Y,-8154.0
127,y2309,-3,8154.0,2023-07-14 10:08:00,Y,-24462.0
126,m2309,8,4061.0,2023-07-14 10:08:06,M,32488.0
123,y2309,-1,8156.0,2023-07-14 10:14:56,Y,-8156.0
122,y2309,-1,8156.0,2023-07-14 10:14:56,Y,-8156.0
118,m2309,1,4065.0,2023-07-14 10:30:01,M,4065.0
120,m2309,1,4065.0,2023-07-14 10:30:01,M,4065.0
121,m2309,1,4065.0,2023-07-14 10:30:01,M,4065.0
119,m2309,1,4065.0,2023-07-14 10:30:01,M,4065.0
117,y2309,-1,8158.0,2023-07-14 10:42:48,Y,-8158.0
116,m2309,2,4068.0,2023-07-14 10:42:52,M,8136.0
115,m2309,2,4066.0,2023-07-14 10:44:59,M,8132.0
114,y2309,-1,8152.0,2023-07-14 10:45:03,Y,-8152.0
113,y2309,1,8172.0,2023-07-14 10:53:22,Y,8172.0
112,m2309,-2,4070.0,2023-07-14 10:53:26,M,-8140.0
111,y2309,1,8174.0,2023-07-14 10:54:30,Y,8174.0
110,m2309,-2,4071.0,2023-07-14 10:54:34,M,-8142.0
99,m2309,2,4072.0,2023-07-14 11:05:11,M,8144.0
98,m2309,-2,4071.0,2023-07-14 11:06:43,M,-8142.0
97,y2309,1,8176.0,2023-07-14 11:15:49,Y,8176.0
96,m2309,-2,4065.0,2023-07-14 11:15:53,M,-8130.0
77,m2309,1,4070.0,2023-07-14 11:29:51,M,4070.0
78,m2309,1,4070.0,2023-07-14 11:29:51,M,4070.0
74,y2309,-1,8186.0,2023-07-14 13:30:00,Y,-8186.0
73,y2309,-1,8178.0,2023-07-14 13:30:38,Y,-8178.0
72,m2309,2,4066.0,2023-07-14 13:30:42,M,8132.0
62,y2309,-1,8162.0,2023-07-14 13:42:14,Y,-8162.0
61,m2309,2,4056.0,2023-07-14 13:42:18,M,8112.0
33,y2309,-1,8158.0,2023-07-14 14:12:20,Y,-8158.0
32,m2309,2,4047.0,2023-07-14 14:12:24,M,8094.0
26,y2309,-1,8130.0,2023-07-14 14:25:50,Y,-8130.0
25,m2309,2,4035.0,2023-07-14 14:25:55,M,8070.0
24,y2308,-1,8092.0,2023-07-14 14:32:31,Y,-8092.0
23,m2308,2,4183.0,2023-07-14 14:32:35,M,8366.0
22,y2309,1,8068.0,2023-07-14 14:40:53,Y,8068.0
21,m2309,-2,4036.0,2023-07-14 14:40:57,M,-8072.0
15,y2309,1,8044.0,2023-07-14 14:49:56,Y,8044.0
14,m2309,-2,4032.0,2023-07-14 14:50:00,M,-8064.0
13,m2309,2,4025.0,2023-07-14 14:58:39,M,8050.0
12,y2309,-1,8060.0,2023-07-14 14:58:42,Y,-8060.0
232,m2309,-2,4042.0,2023-07-14 21:40:57,M,-8084.0
231,y2309,1,8024.0,2023-07-14 21:41:09,Y,8024.0
230,y2309,1,8012.0,2023-07-14 21:43:28,Y,8012.0
229,m2309,-2,4035.0,2023-07-14 21:43:33,M,-8070.0
226,m2309,1,4038.0,2023-07-14 21:54:44,M,4038.0
225,m2309,1,4038.0,2023-07-14 21:54:44,M,4038.0
224,y2309,-1,8032.0,2023-07-14 21:54:48,Y,-8032.0
217,y2309,1,8020.0,2023-07-14 22:16:24,Y,8020.0
216,m2309,-2,4043.0,2023-07-14 22:16:29,M,-8086.0
