result,,price,price,price,volume,volume,volume
id,,ch8,co5,jxh,ch8,co5,jxh
pairs_id,operation,,,,,,
A2311-2401,Âô,24.0,0,0,3.0,0,0
A2401-2403,Âò,8.0,0,0,2.0,0,0
AG2308-2309,Âò,0,0,-9.67,0,0,3.0
AG2308-2309,Âô,-6.0,0,0,1.0,0,0
AG2403-2404,Âò,-12.0,0,0,2.0,0,0
FU2308-2309,Âò,29.95,0,0,20.0,0,0
FU2308-2309,Âô,46.0,0,0,20.0,0,0
IH2309-2312,Âô,-9.4,0,0,8.0,0,0
L2312-2401,Âô,0,0,25.5,0,0,6.0
PP2401-2402,Âò,-3.33,0,0,6.0,0,0
RB2309-2310,Âô,5.0,0,0,20.0,0,0
RU2307-2308,Âò,-64.15,-73.0,0,41.0,20.0,0
RU2307-2310,Âò,-180.0,0,0,2.0,0,0
RU2307-2311,Âò,-208.06,0,0,18.0,0,0
RU2308-2309,Âò,-62.62,0,-61.67,40.0,0,15.0
RU2309-2310,Âò,-50.56,0,0,18.0,0,0
RU2309-2311,Âò,-100.0,0,0,2.0,0,0
RU2310-2311,Âò,0,-60.0,0,0,1.0,0
SC2306-2307,Âò,-2.87,-2.37,-3.02,33.0,15.0,12.0
SC2306-2307,Âô,-1.7,0,0,2.0,0,0
SN2307-2308,Âò,-36.0,0,0,5.0,0,0
SN2308-2307,Âò,150.71,0,0,14.0,0,0
SP2306-2307,Âô,-28.87,0,0,23.0,0,0
SP2310-2311,Âò,0,18.0,0,0,1.0,0
SP2311-2312,Âò,6.56,0,0,18.0,0,0
SP2312-2401,Âò,0,-129.0,0,0,20.0,0
SP2401-2402,Âò,12.5,0,0,4.0,0,0
SP2402-2403,Âò,0,0,25.33,0,0,3.0
V2306-2307,Âô,0,0,-22.0,0,0,20.0
V2310-2311,Âò,0,0,2.0,0,0,4.0
V2402-2403,Âò,7.29,0,-1.25,7.0,0,4.0
V2403-2404,Âò,-14.0,0,0,1.0,0,0
